Month,Species,Street,spray_dist,spray_status,Year,Sunset,DaylightHrs,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Cool,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed
6,CULEX RESTUANS, W 89TH ST,,0,2007,19.28,14.93,88.0,65.0,77.0,13.0,59.0,66.0,12.0,0.0,29.44,30.09,5.8,16.0,7.4
6,CULEX RESTUANS, S MILLARD AVE,,0,2007,19.28,14.93,88.0,65.0,77.0,13.0,59.0,66.0,12.0,0.0,29.44,30.09,5.8,16.0,7.4
6,CULEX RESTUANS, W GRAND AVE,,0,2007,19.28,14.93,88.0,65.0,77.0,13.0,59.0,66.0,12.0,0.0,29.44,30.09,5.8,16.0,7.4
6,CULEX RESTUANS, N FRANCISCO AVE,,0,2007,19.28,14.93,88.0,65.0,77.0,13.0,59.0,66.0,12.0,0.0,29.44,30.09,5.8,16.0,7.4
6,CULEX PIPIENS/RESTUANS, W 116TH ST,,0,2007,19.28,14.93,88.0,65.0,77.0,13.0,59.0,66.0,12.0,0.0,29.44,30.09,5.8,16.0,7.4
6,CULEX RESTUANS, W 116TH ST,,0,2007,19.28,14.93,88.0,65.0,77.0,13.0,59.0,66.0,12.0,0.0,29.44,30.09,5.8,16.0,7.4
6,CULEX RESTUANS, N CALIFORNIA AVE,,0,2007,19.28,14.93,88.0,65.0,77.0,13.0,59.0,66.0,12.0,0.0,29.44,30.09,5.8,16.0,7.4
6,CULEX PIPIENS, W 127TH PL,,0,2007,19.28,14.93,88.0,65.0,77.0,13.0,59.0,66.0,12.0,0.0,29.44,30.09,5.8,16.0,7.4
6,CULEX PIPIENS/RESTUANS, W 127TH PL,,0,2007,19.28,14.93,88.0,65.0,77.0,13.0,59.0,66.0,12.0,0.0,29.44,30.09,5.8,16.0,7.4
6,CULEX RESTUANS, W 127TH PL,,0,2007,19.28,14.93,88.0,65.0,77.0,13.0,59.0,66.0,12.0,0.0,29.44,30.09,5.8,16.0,7.4
6,CULEX PIPIENS/RESTUANS, S CENTRAL AVE,,0,2007,19.28,14.93,88.0,65.0,77.0,13.0,59.0,66.0,12.0,0.0,29.44,30.09,5.8,16.0,7.4
6,CULEX RESTUANS, S CARPENTER ST,,0,2007,19.28,14.93,88.0,65.0,77.0,13.0,59.0,66.0,12.0,0.0,29.44,30.09,5.8,16.0,7.4
6,CULEX PIPIENS/RESTUANS, S DR MARTIN LUTHER KING JR DR,,0,2007,19.28,14.93,88.0,65.0,77.0,13.0,59.0,66.0,12.0,0.0,29.44,30.09,5.8,16.0,7.4
6,CULEX RESTUANS, N ASHLAND AVE OVERPASS,,0,2007,19.28,14.93,88.0,65.0,77.0,13.0,59.0,66.0,12.0,0.0,29.44,30.09,5.8,16.0,7.4
6,CULEX RESTUANS, S VINCENNES,,0,2007,19.28,14.93,88.0,65.0,77.0,13.0,59.0,66.0,12.0,0.0,29.44,30.09,5.8,16.0,7.4
6,CULEX PIPIENS/RESTUANS, S ASHLAND AVE,,0,2007,19.28,14.93,88.0,65.0,77.0,13.0,59.0,66.0,12.0,0.0,29.44,30.09,5.8,16.0,7.4
6,CULEX RESTUANS, S ASHLAND AVE,,0,2007,19.28,14.93,88.0,65.0,77.0,13.0,59.0,66.0,12.0,0.0,29.44,30.09,5.8,16.0,7.4
6,CULEX PIPIENS/RESTUANS, W GRANVILLE AVE,,0,2007,19.28,14.93,88.0,60.0,74.0,10.0,58.0,65.0,9.0,0.0,29.39,30.11,5.8,18.0,6.5
6,CULEX RESTUANS, W FARWELL AVE,,0,2007,19.28,14.93,88.0,60.0,74.0,10.0,58.0,65.0,9.0,0.0,29.39,30.11,5.8,18.0,6.5
6,CULEX RESTUANS, N PITTSBURGH AVE,,0,2007,19.28,14.93,88.0,60.0,74.0,10.0,58.0,65.0,9.0,0.0,29.39,30.11,5.8,18.0,6.5
6,CULEX PIPIENS/RESTUANS, N KEDVALE AVE,,0,2007,19.28,14.93,88.0,60.0,74.0,10.0,58.0,65.0,9.0,0.0,29.39,30.11,5.8,18.0,6.5
6,CULEX RESTUANS, N KEDVALE AVE,,0,2007,19.28,14.93,88.0,60.0,74.0,10.0,58.0,65.0,9.0,0.0,29.39,30.11,5.8,18.0,6.5
6,CULEX PIPIENS/RESTUANS, N AUSTIN AVE,,0,2007,19.28,14.93,88.0,60.0,74.0,10.0,58.0,65.0,9.0,0.0,29.39,30.11,5.8,18.0,6.5
6,CULEX RESTUANS, N AUSTIN AVE,,0,2007,19.28,14.93,88.0,60.0,74.0,10.0,58.0,65.0,9.0,0.0,29.39,30.11,5.8,18.0,6.5
6,CULEX PIPIENS, N OAK PARK AVE,,0,2007,19.28,14.93,88.0,60.0,74.0,10.0,58.0,65.0,9.0,0.0,29.39,30.11,5.8,18.0,6.5
6,CULEX PIPIENS/RESTUANS, N OAK PARK AVE,,0,2007,19.28,14.93,88.0,60.0,74.0,10.0,58.0,65.0,9.0,0.0,29.39,30.11,5.8,18.0,6.5
6,CULEX RESTUANS, N OAK PARK AVE,,0,2007,19.28,14.93,88.0,60.0,74.0,10.0,58.0,65.0,9.0,0.0,29.39,30.11,5.8,18.0,6.5
6,CULEX PIPIENS/RESTUANS, N RICHMOND ST,,0,2007,19.28,14.93,88.0,60.0,74.0,10.0,58.0,65.0,9.0,0.0,29.39,30.11,5.8,18.0,6.5
6,CULEX RESTUANS, N RICHMOND ST,,0,2007,19.28,14.93,88.0,60.0,74.0,10.0,58.0,65.0,9.0,0.0,29.39,30.11,5.8,18.0,6.5
6,CULEX RESTUANS, N CAMPBELL AVE,,0,2007,19.28,14.93,88.0,60.0,74.0,10.0,58.0,65.0,9.0,0.0,29.39,30.11,5.8,18.0,6.5
6,CULEX RESTUANS, W BALMORAL AVE,,0,2007,19.28,14.93,88.0,60.0,74.0,10.0,58.0,65.0,9.0,0.0,29.39,30.11,5.8,18.0,6.5
6,CULEX PIPIENS/RESTUANS, W AGATITE AVE,,0,2007,19.28,14.93,88.0,60.0,74.0,10.0,58.0,65.0,9.0,0.0,29.39,30.11,5.8,18.0,6.5
6,CULEX RESTUANS, W AGATITE AVE,,0,2007,19.28,14.93,88.0,60.0,74.0,10.0,58.0,65.0,9.0,0.0,29.39,30.11,5.8,18.0,6.5
6,CULEX RESTUANS, N WESTERN AVE,,0,2007,19.28,14.93,88.0,60.0,74.0,10.0,58.0,65.0,9.0,0.0,29.39,30.11,5.8,18.0,6.5
6,CULEX PIPIENS/RESTUANS, N OAK PARK AVE,,0,2007,19.28,14.93,88.0,60.0,74.0,10.0,58.0,65.0,9.0,0.0,29.39,30.11,5.8,18.0,6.5
6,CULEX RESTUANS, N OAK PARK AVE,,0,2007,19.28,14.93,88.0,60.0,74.0,10.0,58.0,65.0,9.0,0.0,29.39,30.11,5.8,18.0,6.5
6,CULEX PIPIENS/RESTUANS,  W ARMITAGE AVENUE,,0,2007,19.28,14.93,88.0,60.0,74.0,10.0,58.0,65.0,9.0,0.0,29.39,30.11,5.8,18.0,6.5
6,CULEX RESTUANS,  W ARMITAGE AVENUE,,0,2007,19.28,14.93,88.0,60.0,74.0,10.0,58.0,65.0,9.0,0.0,29.39,30.11,5.8,18.0,6.5
6,CULEX RESTUANS, N OKETO AVE,,0,2007,19.28,14.93,88.0,60.0,74.0,10.0,58.0,65.0,9.0,0.0,29.39,30.11,5.8,18.0,6.5
6,CULEX PIPIENS/RESTUANS, W FOSTER AVE,,0,2007,19.28,14.93,88.0,60.0,74.0,10.0,58.0,65.0,9.0,0.0,29.39,30.11,5.8,18.0,6.5
6,CULEX RESTUANS, W FOSTER AVE,,0,2007,19.28,14.93,88.0,60.0,74.0,10.0,58.0,65.0,9.0,0.0,29.39,30.11,5.8,18.0,6.5
6,CULEX RESTUANS, W HIGGINS AVE,,0,2007,19.28,14.93,88.0,60.0,74.0,10.0,58.0,65.0,9.0,0.0,29.39,30.11,5.8,18.0,6.5
6,CULEX PIPIENS, S CALIFORNIA AVE,,0,2007,19.5,15.23,81.0,65.0,73.0,3.0,55.0,63.0,8.0,0.93,29.31,29.93,10.1,29.0,11.3
6,CULEX RESTUANS, W 95TH ST,,0,2007,19.5,15.23,81.0,65.0,73.0,3.0,55.0,63.0,8.0,0.93,29.31,29.93,10.1,29.0,11.3
6,CULEX PIPIENS/RESTUANS, W ROOSEVELT,,0,2007,19.5,15.23,81.0,65.0,73.0,3.0,55.0,63.0,8.0,0.93,29.31,29.93,10.1,29.0,11.3
6,CULEX PIPIENS/RESTUANS, S CALIFORNIA,,0,2007,19.5,15.23,81.0,65.0,73.0,3.0,55.0,63.0,8.0,0.93,29.31,29.93,10.1,29.0,11.3
6,CULEX RESTUANS, S CALIFORNIA,,0,2007,19.5,15.23,81.0,65.0,73.0,3.0,55.0,63.0,8.0,0.93,29.31,29.93,10.1,29.0,11.3
6,CULEX RESTUANS, W CHICAGO,,0,2007,19.5,15.23,81.0,65.0,73.0,3.0,55.0,63.0,8.0,0.93,29.31,29.93,10.1,29.0,11.3
6,CULEX PIPIENS/RESTUANS, N HUMBOLDT DR,,0,2007,19.5,15.23,81.0,65.0,73.0,3.0,55.0,63.0,8.0,0.93,29.31,29.93,10.1,29.0,11.3
6,CULEX RESTUANS, N HUMBOLDT DR,,0,2007,19.5,15.23,81.0,65.0,73.0,3.0,55.0,63.0,8.0,0.93,29.31,29.93,10.1,29.0,11.3
6,CULEX PIPIENS/RESTUANS, W WEBSTER AVE,,0,2007,19.5,15.23,81.0,65.0,73.0,3.0,55.0,63.0,8.0,0.93,29.31,29.93,10.1,29.0,11.3
6,CULEX RESTUANS, W WEBSTER AVE,,0,2007,19.5,15.23,81.0,65.0,73.0,3.0,55.0,63.0,8.0,0.93,29.31,29.93,10.1,29.0,11.3
6,CULEX RESTUANS, W LELAND AVE,,0,2007,19.5,15.23,81.0,65.0,73.0,3.0,55.0,63.0,8.0,0.93,29.31,29.93,10.1,29.0,11.3
6,CULEX RESTUANS, N STAVE ST,,0,2007,19.5,15.23,81.0,65.0,73.0,3.0,55.0,63.0,8.0,0.93,29.31,29.93,10.1,29.0,11.3
6,CULEX PIPIENS/RESTUANS, S HAMLIN AVE,,0,2007,19.5,15.23,81.0,65.0,73.0,3.0,55.0,63.0,8.0,0.93,29.31,29.93,10.1,29.0,11.3
6,CULEX RESTUANS, S HAMLIN AVE,,0,2007,19.5,15.23,81.0,65.0,73.0,3.0,55.0,63.0,8.0,0.93,29.31,29.93,10.1,29.0,11.3
6,CULEX PIPIENS/RESTUANS, W 113TH ST,,0,2007,19.5,15.23,81.0,65.0,73.0,3.0,55.0,63.0,8.0,0.93,29.31,29.93,10.1,29.0,11.3
6,CULEX RESTUANS, W 113TH ST,,0,2007,19.5,15.23,81.0,65.0,73.0,3.0,55.0,63.0,8.0,0.93,29.31,29.93,10.1,29.0,11.3
6,CULEX RESTUANS, W 89TH ST,,0,2007,19.5,15.23,81.0,65.0,73.0,3.0,55.0,63.0,8.0,0.93,29.31,29.93,10.1,29.0,11.3
6,CULEX PIPIENS/RESTUANS, S THROOP,,0,2007,19.5,15.23,81.0,65.0,73.0,3.0,55.0,63.0,8.0,0.93,29.31,29.93,10.1,29.0,11.3
6,CULEX PIPIENS/RESTUANS, W GRAND AVE,,0,2007,19.5,15.23,81.0,65.0,73.0,3.0,55.0,63.0,8.0,0.93,29.31,29.93,10.1,29.0,11.3
6,CULEX RESTUANS, W GRAND AVE,,0,2007,19.5,15.23,81.0,65.0,73.0,3.0,55.0,63.0,8.0,0.93,29.31,29.93,10.1,29.0,11.3
6,CULEX RESTUANS, S WESTERN AVE,,0,2007,19.5,15.23,81.0,65.0,73.0,3.0,55.0,63.0,8.0,0.93,29.31,29.93,10.1,29.0,11.3
6,CULEX RESTUANS, N FRANCISCO AVE,,0,2007,19.5,15.23,81.0,65.0,73.0,3.0,55.0,63.0,8.0,0.93,29.31,29.93,10.1,29.0,11.3
6,CULEX RESTUANS, W 18TH ST,,0,2007,19.5,15.23,81.0,65.0,73.0,3.0,55.0,63.0,8.0,0.93,29.31,29.93,10.1,29.0,11.3
6,CULEX PIPIENS/RESTUANS, W 116TH ST,,0,2007,19.5,15.23,81.0,65.0,73.0,3.0,55.0,63.0,8.0,0.93,29.31,29.93,10.1,29.0,11.3
6,CULEX RESTUANS, W 116TH ST,,0,2007,19.5,15.23,81.0,65.0,73.0,3.0,55.0,63.0,8.0,0.93,29.31,29.93,10.1,29.0,11.3
6,CULEX RESTUANS, N CALIFORNIA AVE,,0,2007,19.5,15.23,81.0,65.0,73.0,3.0,55.0,63.0,8.0,0.93,29.31,29.93,10.1,29.0,11.3
6,CULEX PIPIENS, W 127TH PL,,0,2007,19.5,15.23,81.0,65.0,73.0,3.0,55.0,63.0,8.0,0.93,29.31,29.93,10.1,29.0,11.3
6,CULEX PIPIENS/RESTUANS, W 127TH PL,,0,2007,19.5,15.23,81.0,65.0,73.0,3.0,55.0,63.0,8.0,0.93,29.31,29.93,10.1,29.0,11.3
6,CULEX RESTUANS, W 127TH PL,,0,2007,19.5,15.23,81.0,65.0,73.0,3.0,55.0,63.0,8.0,0.93,29.31,29.93,10.1,29.0,11.3
6,CULEX PIPIENS/RESTUANS, S HOYNE AVE,,0,2007,19.5,15.23,81.0,65.0,73.0,3.0,55.0,63.0,8.0,0.93,29.31,29.93,10.1,29.0,11.3
6,CULEX RESTUANS, S HOYNE AVE,,0,2007,19.5,15.23,81.0,65.0,73.0,3.0,55.0,63.0,8.0,0.93,29.31,29.93,10.1,29.0,11.3
6,CULEX RESTUANS, N ASHLAND AVE OVERPASS,,0,2007,19.5,15.23,81.0,65.0,73.0,3.0,55.0,63.0,8.0,0.93,29.31,29.93,10.1,29.0,11.3
6,CULEX PIPIENS/RESTUANS, N STREETER DR,,0,2007,19.5,15.23,81.0,65.0,73.0,3.0,55.0,63.0,8.0,0.93,29.31,29.93,10.1,29.0,11.3
6,CULEX RESTUANS, N STREETER DR,,0,2007,19.5,15.23,81.0,65.0,73.0,3.0,55.0,63.0,8.0,0.93,29.31,29.93,10.1,29.0,11.3
6,CULEX PIPIENS, S ASHLAND AVE,,0,2007,19.5,15.23,81.0,65.0,73.0,3.0,55.0,63.0,8.0,0.93,29.31,29.93,10.1,29.0,11.3
6,CULEX PIPIENS/RESTUANS, S ASHLAND AVE,,0,2007,19.5,15.23,81.0,65.0,73.0,3.0,55.0,63.0,8.0,0.93,29.31,29.93,10.1,29.0,11.3
6,CULEX RESTUANS, S ASHLAND AVE,,0,2007,19.5,15.23,81.0,65.0,73.0,3.0,55.0,63.0,8.0,0.93,29.31,29.93,10.1,29.0,11.3
6,CULEX RESTUANS, W FARWELL AVE,,0,2007,19.5,15.23,80.0,65.0,73.0,3.0,55.0,63.0,8.0,0.58,29.26,29.95,10.7,28.0,11.4
6,CULEX PIPIENS/RESTUANS, N PITTSBURGH AVE,,0,2007,19.5,15.23,80.0,65.0,73.0,3.0,55.0,63.0,8.0,0.58,29.26,29.95,10.7,28.0,11.4
6,CULEX RESTUANS, N PITTSBURGH AVE,,0,2007,19.5,15.23,80.0,65.0,73.0,3.0,55.0,63.0,8.0,0.58,29.26,29.95,10.7,28.0,11.4
6,CULEX RESTUANS, N AUSTIN AVE,,0,2007,19.5,15.23,80.0,65.0,73.0,3.0,55.0,63.0,8.0,0.58,29.26,29.95,10.7,28.0,11.4
6,CULEX PIPIENS/RESTUANS, N TRIPP AVE,,0,2007,19.5,15.23,80.0,65.0,73.0,3.0,55.0,63.0,8.0,0.58,29.26,29.95,10.7,28.0,11.4
6,CULEX PIPIENS/RESTUANS, N OAK PARK AVE,,0,2007,19.5,15.23,80.0,65.0,73.0,3.0,55.0,63.0,8.0,0.58,29.26,29.95,10.7,28.0,11.4
6,CULEX RESTUANS, N OAK PARK AVE,,0,2007,19.5,15.23,80.0,65.0,73.0,3.0,55.0,63.0,8.0,0.58,29.26,29.95,10.7,28.0,11.4
6,CULEX SALINARIUS, N OAK PARK AVE,,0,2007,19.5,15.23,80.0,65.0,73.0,3.0,55.0,63.0,8.0,0.58,29.26,29.95,10.7,28.0,11.4
6,CULEX RESTUANS, N RICHMOND ST,,0,2007,19.5,15.23,80.0,65.0,73.0,3.0,55.0,63.0,8.0,0.58,29.26,29.95,10.7,28.0,11.4
6,CULEX RESTUANS, N CAMPBELL AVE,,0,2007,19.5,15.23,80.0,65.0,73.0,3.0,55.0,63.0,8.0,0.58,29.26,29.95,10.7,28.0,11.4
6,CULEX RESTUANS, N MILWAUKEE AVE,,0,2007,19.5,15.23,80.0,65.0,73.0,3.0,55.0,63.0,8.0,0.58,29.26,29.95,10.7,28.0,11.4
6,CULEX PIPIENS/RESTUANS, W BALMORAL AVE,,0,2007,19.5,15.23,80.0,65.0,73.0,3.0,55.0,63.0,8.0,0.58,29.26,29.95,10.7,28.0,11.4
6,CULEX PIPIENS/RESTUANS, W AGATITE AVE,,0,2007,19.5,15.23,80.0,65.0,73.0,3.0,55.0,63.0,8.0,0.58,29.26,29.95,10.7,28.0,11.4
6,CULEX RESTUANS, W AGATITE AVE,,0,2007,19.5,15.23,80.0,65.0,73.0,3.0,55.0,63.0,8.0,0.58,29.26,29.95,10.7,28.0,11.4
6,CULEX PIPIENS/RESTUANS, N WESTERN AVE,,0,2007,19.5,15.23,80.0,65.0,73.0,3.0,55.0,63.0,8.0,0.58,29.26,29.95,10.7,28.0,11.4
6,CULEX RESTUANS, N WESTERN AVE,,0,2007,19.5,15.23,80.0,65.0,73.0,3.0,55.0,63.0,8.0,0.58,29.26,29.95,10.7,28.0,11.4
6,CULEX PIPIENS/RESTUANS, N AVONDALE AVE,,0,2007,19.5,15.23,80.0,65.0,73.0,3.0,55.0,63.0,8.0,0.58,29.26,29.95,10.7,28.0,11.4
6,CULEX RESTUANS, N AVONDALE AVE,,0,2007,19.5,15.23,80.0,65.0,73.0,3.0,55.0,63.0,8.0,0.58,29.26,29.95,10.7,28.0,11.4
6,CULEX PIPIENS/RESTUANS, N LEMONT AVE,,0,2007,19.5,15.23,80.0,65.0,73.0,3.0,55.0,63.0,8.0,0.58,29.26,29.95,10.7,28.0,11.4
6,CULEX PIPIENS/RESTUANS, N MANDELL AVE,,0,2007,19.5,15.23,80.0,65.0,73.0,3.0,55.0,63.0,8.0,0.58,29.26,29.95,10.7,28.0,11.4
6,CULEX RESTUANS, N MANDELL AVE,,0,2007,19.5,15.23,80.0,65.0,73.0,3.0,55.0,63.0,8.0,0.58,29.26,29.95,10.7,28.0,11.4
6,CULEX PIPIENS/RESTUANS, N OAK PARK AVE,,0,2007,19.5,15.23,80.0,65.0,73.0,3.0,55.0,63.0,8.0,0.58,29.26,29.95,10.7,28.0,11.4
6,CULEX RESTUANS, N OAK PARK AVE,,0,2007,19.5,15.23,80.0,65.0,73.0,3.0,55.0,63.0,8.0,0.58,29.26,29.95,10.7,28.0,11.4
6,CULEX RESTUANS, W BELDEN AVE,,0,2007,19.5,15.23,80.0,65.0,73.0,3.0,55.0,63.0,8.0,0.58,29.26,29.95,10.7,28.0,11.4
6,CULEX RESTUANS, N MOSELL AVE,,0,2007,19.5,15.23,80.0,65.0,73.0,3.0,55.0,63.0,8.0,0.58,29.26,29.95,10.7,28.0,11.4
6,CULEX PIPIENS/RESTUANS,  W ARMITAGE AVENUE,,0,2007,19.5,15.23,80.0,65.0,73.0,3.0,55.0,63.0,8.0,0.58,29.26,29.95,10.7,28.0,11.4
6,CULEX RESTUANS,  W ARMITAGE AVENUE,,0,2007,19.5,15.23,80.0,65.0,73.0,3.0,55.0,63.0,8.0,0.58,29.26,29.95,10.7,28.0,11.4
6,CULEX PIPIENS/RESTUANS, N OKETO AVE,,0,2007,19.5,15.23,80.0,65.0,73.0,3.0,55.0,63.0,8.0,0.58,29.26,29.95,10.7,28.0,11.4
